reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
45,pmid-27126994,"Mayer IA, Abramson VG, Formisano L, et al.",27126994,PMC5085926,10.1158/1078-0432.CCR-16-0134,"A Phase Ib Study of Alpelisib (BYL719), a PI3Kα-Specific Inhibitor, with Letrozole in ER+/HER2- Metastatic Breast Cancer.",Clinical cancer research : an official journal of the American Association for Cancer Research,2016,"Clinical Trial, Phase I;Journal Article;Multicenter Study"
46,pmid-34020697,"Jacquemetton J, Kassem L, Poulard C, et al.",34020697,PMC8139055,10.1186/s13058-021-01433-8,Analysis of genomic and non-genomic signaling of estrogen receptor in PDX models of breast cancer treated with a combination of the PI3K inhibitor alpelisib (BYL719) and fulvestrant.,Breast cancer research : BCR,2021,"Journal Article;Research Support, Non-U.S. Gov't"
47,pmid-37044095,"Auf der Maur P, Trefny MP, Baumann Z, et al.",37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,Cell reports. Medicine,2023,"Journal Article;Research Support, Non-U.S. Gov't"
48,pmid-34067117,"Badarni M, Prasad M, Golden A, et al.",34067117,PMC8125641,10.3390/cancers13092250,IGF2 Mediates Resistance to Isoform-Selective-Inhibitors of the PI3K in HPV Positive Head and Neck Cancer.,Cancers,2021,Journal Article
49,pmid-39839709,"Huebner H, Wimberger P, Laakmann E, et al.",39839709,PMC11748133,10.1093/pcmedi/pbae034,"Cell-free tumor DNA analysis in advanced or metastatic breast cancer patients: mutation frequencies, testing intention, and clinical impact.",Precision clinical medicine,2024,Journal Article
50,pmid-38473737,"Canino F, Tornincasa A, Bettelli S, et al.",38473737,PMC10931361,10.3390/ijms25052490,Real-World Data and Clinical Implications of Next-Generation Sequencing (NGS)-Based Analysis in Metastatic Breast Cancer Patients.,International journal of molecular sciences,2024,Journal Article
51,pmid-42351448,"Al-Shamsi HO, Abdelwahed N, Abdelwahab SI, et al.",42351448,PMC13298351,10.3390/diagnostics16121790,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.","Diagnostics (Basel, Switzerland)",2026,Journal Article;Review
52,pmid-33976551,"Li C, Li X",33976551,PMC8104980,10.2147/OTT.S298720,"Advances in Therapy for Hormone Receptor (HR)-Positive, Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Advanced Breast Cancer Patients Who Have Experienced Progression After Treatment with CDK4/6 Inhibitors.",OncoTargets and therapy,2021,Journal Article;Review
53,pmid-31852484,"Patel HK, Tao N, Lee KM, et al.",31852484,PMC6921513,10.1186/s13058-019-1230-0,Elacestrant (RAD1901) exhibits anti-tumor activity in multiple ER+ breast cancer models resistant to CDK4/6 inhibitors.,Breast cancer research : BCR,2019,"Journal Article;Research Support, Non-U.S. Gov't"
54,pmid-39935426,"Cejalvo Andújar JM, Ayala de la Peña F, Margeli Vila M, et al.",39935426,PMC11810462,10.20517/cdr.2024.169,Optimizing therapeutic approaches for HR+/HER2- advanced breast cancer: clinical perspectives on biomarkers and treatment strategies post-CDK4/6 inhibitor progression.,"Cancer drug resistance (Alhambra, Calif.)",2025,Journal Article;Review
55,pmid-42445743,Abdel-Razeq H,42445743,PMC13361340,10.2147/DDDT.S611371,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,"Drug design, development and therapy",2026,Journal Article;Review
