subsection_id,paper_rank,paper_id,pmid,pmcid,doi,title,source_format,hybrid_score,lexical_score,semantic_score,evidence_role_hint,selected_for_packet,selection_reason,top_chunk_uids
SUB001,54,pmid-41681940,41681940,PMC12896634,10.3390/cancers18030468,Comparison Between Alpelisib Plus Endocrine Therapy and Everolimus Plus Endocrine Therapy After CDK4/6 Inhibitors Progression in Patients with PIK3CA-Mutant Metastatic Breast Cancer: A Single-Center Retrospective Study.,pmc_xml,0.011364,0.000000,0.805294,global_primary_retrieved,0,not_selected,pmid-41681940:CH0006
SUB001,55,pmid-31852484,31852484,PMC6921513,10.1186/s13058-019-1230-0,Elacestrant (RAD1901) exhibits anti-tumor activity in multiple ER+ breast cancer models resistant to CDK4/6 inhibitors.,pmc_xml,0.010417,0.000000,0.796143,global_primary_retrieved,0,not_selected,pmid-31852484:CH0060
SUB001,56,pmid-30588709,30588709,PMC6398875,10.1111/cas.13923,"Phase I study of alpelisib (BYL719), an α-specific PI3K inhibitor, in Japanese patients with advanced solid tumors.",pmc_xml,0.009709,0.000000,0.793392,context_for_subsection,0,not_selected,pmid-30588709:CH0007
SUB001,57,pmid-27604488,27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,pmc_xml,0.009346,117.622859,0.000000,context_for_subsection,0,not_selected,pmid-27604488:CH0013
SUB001,58,pmid-38496864,38496864,PMC10944239,10.1016/j.heliyon.2024.e27529,A real-world disproportionality analysis of FDA adverse event reporting system (FAERS) events for alpelisib.,pmc_xml,0.009009,117.253753,0.000000,context_for_subsection,0,not_selected,pmid-38496864:CH0018
SUB001,59,pmid-36292649,36292649,PMC9601363,10.3390/genes13101763,Alpelisib Efficacy in Hormone Receptor-Positive HER2-Negative PIK3CA-Mutant Advanced Breast Cancer Post-Everolimus Treatment.,pmc_xml,0.008000,115.048814,0.000000,context_for_subsection,0,not_selected,pmid-36292649:CH0010
SUB001,60,pmid-40510030,40510030,PMC12159599,10.20517/cdr.2024.181,FGFR1 overexpression promotes resistance to PI3K inhibitor alpelisib in luminal breast cancer cells through receptor tyrosine kinase signaling-mediated activation of the estrogen receptor.,pmc_xml,0.007937,0.000000,0.781273,global_primary_retrieved,0,not_selected,pmid-40510030:CH0035
SUB001,61,pmid-28129991,28129991,PMC5319926,10.1016/j.bmc.2017.01.012,Identification of allosteric binding sites for PI3Kα oncogenic mutant specific inhibitor design.,pmc_xml,0.007812,0.000000,0.780633,global_primary_retrieved,0,not_selected,pmid-28129991:CH0006
SUB001,62,pmid-40454641,40454641,PMC13496148,10.1056/NEJMoa2501796,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,pmc_xml,0.007353,114.036843,0.000000,global_primary_retrieved,0,not_selected,pmid-40454641:CH0027
SUB001,63,pmid-23903756,23903756,PMC3935768,10.1126/scitranslmed.3005747,mTORC1 inhibition is required for sensitivity to PI3K p110α inhibitors in PIK3CA-mutant breast cancer.,pmc_xml,0.007194,113.717272,0.000000,context_for_subsection,0,not_selected,pmid-23903756:CH0006
SUB002,1,pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,pmc_xml,0.085118,205.418611,2.188824,primary_for_subsection,1,top_ranked,pmid-32864625:CH0001;pmid-32864625:CH0032;pmid-32864625:CH0005
SUB002,2,pmid-41925922,41925922,PMC13046609,10.1007/s10549-026-07939-z,Alpelisib and Fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the German PRAEGNANT trial.,pmc_xml,0.084218,322.106240,1.444078,primary_for_subsection,1,top_ranked,pmid-41925922:CH0033;pmid-41925922:CH0032;pmid-41925922:CH0002
SUB002,3,pmid-38638399,38638399,PMC11024566,10.1016/j.eclinm.2024.102520,"Preventing alpelisib-related hyperglycaemia in HR+/HER2-/PIK3CA-mutated advanced breast cancer using metformin (METALLICA): a multicentre, open-label, single-arm, phase 2 trial.",pmc_xml,0.068564,318.463097,0.714426,primary_for_subsection,1,top_ranked,pmid-38638399:CH0044;pmid-38638399:CH0040;pmid-38638399:CH0012
SUB002,4,pmid-33575071,33575071,PMC7646628,10.6004/jadpro.2020.11.7.9,Alpelisib: A Novel Therapy for Patients With PIK3CA-Mutated Metastatic Breast Cancer.,pmc_xml,0.063785,335.943502,0.000000,primary_for_subsection,1,top_ranked,pmid-33575071:CH0035;pmid-33575071:CH0021;pmid-33575071:CH0036
SUB002,5,pmid-41681940,41681940,PMC12896634,10.3390/cancers18030468,Comparison Between Alpelisib Plus Endocrine Therapy and Everolimus Plus Endocrine Therapy After CDK4/6 Inhibitors Progression in Patients with PIK3CA-Mutant Metastatic Breast Cancer: A Single-Center Retrospective Study.,pmc_xml,0.063702,212.605932,1.384041,primary_for_subsection,1,top_ranked,pmid-41681940:CH0008;pmid-41681940:CH0020;pmid-41681940:CH0022
SUB002,6,pmid-40152314,40152314,PMC11950915,10.1093/oncolo/oyaf023,Dynamics of hyperglycemia of patients treated with alpelisib: exploratory interim analysis of ITACA trial.,pmc_xml,0.062801,207.208846,1.387073,primary_for_subsection,1,top_ranked,pmid-40152314:CH0005;pmid-40152314:CH0020;pmid-40152314:CH0006
SUB002,7,pmid-34012367,34012367,PMC8114069,10.1159/000514794,First Experiences with Alpelisib in Clinical Routine: Case Reports from a German Breast Center.,pdf,0.061719,211.530915,1.375273,primary_for_subsection,1,top_ranked,pmid-34012367:CH0005;pmid-34012367:CH0031;pmid-34012367:CH0007
SUB002,8,pmid-37743730,37743730,PMC10863751,10.1002/cncr.34928,"Incidence, risk factors, and management of alpelisib-associated hyperglycemia in metastatic breast cancer.",pmc_xml,0.060953,316.706231,0.673781,primary_for_subsection,1,top_ranked,pmid-37743730:CH0007;pmid-37743730:CH0043;pmid-37743730:CH0008
SUB002,9,pmid-33602685,33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,pmc_xml,0.054088,0.000000,2.098247,primary_for_subsection,1,top_ranked,pmid-33602685:CH0017;pmid-33602685:CH0002;pmid-33602685:CH0005
SUB002,10,pmid-32817061,32817061,PMC7437706,10.1136/esmoopen-2020-000890,PIK3CA mutation inhibition in hormone receptor-positive breast cancer: time has come.,pmc_xml,0.053459,0.000000,2.082287,primary_for_subsection,1,top_ranked,pmid-32817061:CH0005;pmid-32817061:CH0012;pmid-32817061:CH0002
SUB002,11,pmid-39539943,39539943,PMC11558728,10.1177/17588359241297101,Elacestrant plus alpelisib in an ESR1 and PIK3CA co-mutated and heavily pretreated metastatic breast cancer: the first case report for combination efficacy and safety.,pmc_xml,0.049112,310.313713,0.000000,primary_for_subsection,1,stage4_primary_force_included,pmid-39539943:CH0039;pmid-39539943:CH0003;pmid-39539943:CH0004
SUB002,12,pmid-39177931,39177931,PMC11452482,10.1007/s10549-024-07405-8,SGLT2 inhibition improves PI3Kα inhibitor-induced hyperglycemia: findings from preclinical animal models and from patients in the BYLieve and SOLAR-1 trials.,pmc_xml,0.048592,101.110080,1.380314,primary_for_subsection,1,stage4_primary_force_included,pmid-39177931:CH0001;pmid-39177931:CH0006
SUB002,13,pmid-33780274,33780274,PMC8210974,10.1200/JCO.20.01139,"Patient-Reported Outcomes in Patients With PIK3CA-Mutated Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer From SOLAR-1.",pmc_xml,0.044916,101.379484,1.362064,primary_for_subsection,1,stage4_primary_force_included,pmid-33780274:CH0004;pmid-33780274:CH0008;pmid-33780274:CH0009
SUB002,14,pmid-27126994,27126994,PMC5085926,10.1158/1078-0432.CCR-16-0134,"A Phase Ib Study of Alpelisib (BYL719), a PI3Kα-Specific Inhibitor, with Letrozole in ER+/HER2- Metastatic Breast Cancer.",pmc_xml,0.044225,103.664668,0.709333,primary_for_subsection,1,stage4_primary_force_included,pmid-27126994:CH0002;pmid-27126994:CH0016
SUB002,15,pmid-36292649,36292649,PMC9601363,10.3390/genes13101763,Alpelisib Efficacy in Hormone Receptor-Positive HER2-Negative PIK3CA-Mutant Advanced Breast Cancer Post-Everolimus Treatment.,pmc_xml,0.043856,216.550030,0.000000,primary_for_subsection,1,stage4_primary_force_included,pmid-36292649:CH0010;pmid-36292649:CH0001
SUB002,16,pmid-39070139,39070139,PMC11272611,10.3389/fonc.2024.1390452,"Phase Ib and pharmacokinetics study of alpelisib, a PIK3CA inhibitor, and capecitabine in patients with advanced solid tumors.",pmc_xml,0.043025,202.370544,0.674704,primary_for_subsection,1,stage4_primary_force_included,pmid-39070139:CH0027;pmid-39070139:CH0005;pmid-39070139:CH0022
SUB002,17,pmid-41976378,41976378,PMC13072385,10.3390/cancers18071156,"Impact of Time of Administration, Fasting, and a Low-Carbohydrate Diet on Alpelisib-Associated Hyperglycemia and Efficacy: A Pilot Randomized Controlled Phase IIb Trial.",pmc_xml,0.042115,108.520301,0.686086,primary_for_subsection,1,stage4_primary_force_included,pmid-41976378:CH0008;pmid-41976378:CH0030
SUB002,18,pmid-39217059,39217059,PMC11840667,10.1016/j.clbc.2024.08.001,A Phase I Trial of Alpelisib Combined With Capecitabine in Patients With HER2-Negative Metastatic Breast Cancer.,pmc_xml,0.041441,102.046136,0.703604,primary_for_subsection,1,stage4_primary_force_included,pmid-39217059:CH0025
